Day,Pm,BW29,Oo,Gm,BW37,BW58,Site
5/20/2015,0,0,0,0,1,0,KGI
5/21/2015,0,1,0,1,1,0,KGI
5/22/2015,0,0,0,0,0,0,KGI
5/23/2015,0,0,0,0,0,0,KGI
5/24/2015,0,0,0,1,0,0,KGI
5/25/2015,0,0,0,0,0,0,KGI
5/26/2015,0,0,1,0,0,0,KGI
5/27/2015,0,0,0,0,0,0,KGI
5/28/2015,0,0,0,0,0,0,KGI
5/29/2015,0,0,0,0,0,0,KGI
5/30/2015,0,0,0,0,0,0,KGI
5/31/2015,0,0,0,0,0,0,KGI
6/1/2015,0,0,0,1,0,0,KGI
6/2/2015,0,0,0,0,1,0,KGI
6/3/2015,0,0,0,1,0,0,KGI
6/4/2015,0,0,0,0,0,0,KGI
6/5/2015,0,0,0,0,0,0,KGI
6/6/2015,0,0,0,1,0,0,KGI
6/7/2015,0,0,0,0,0,0,KGI
6/8/2015,0,1,0,0,0,0,KGI
6/9/2015,0,0,0,1,0,0,KGI
6/10/2015,0,0,0,1,1,0,KGI
6/11/2015,0,0,0,1,0,0,KGI
6/12/2015,0,1,0,1,0,0,KGI
6/13/2015,0,1,0,1,0,0,KGI
6/14/2015,0,0,0,1,0,0,KGI
6/15/2015,0,0,0,1,0,0,KGI
6/16/2015,0,0,0,0,0,0,KGI
6/17/2015,0,0,0,0,0,0,KGI
6/18/2015,0,0,0,0,0,0,KGI
6/19/2015,0,0,0,1,0,0,KGI
6/20/2015,0,0,0,0,0,0,KGI
6/21/2015,0,0,0,1,0,0,KGI
6/22/2015,0,0,0,0,0,0,KGI
6/23/2015,0,1,0,0,0,0,KGI
6/24/2015,0,0,0,0,0,0,KGI
6/25/2015,0,0,0,0,1,0,KGI
6/26/2015,0,0,0,0,0,0,KGI
6/27/2015,0,0,0,1,0,0,KGI
6/28/2015,0,0,0,1,0,0,KGI
6/29/2015,0,0,0,1,0,0,KGI
6/30/2015,0,0,0,0,0,0,KGI
7/1/2015,0,0,0,0,0,0,KGI
7/2/2015,0,0,1,0,0,0,KGI
7/3/2015,0,0,0,0,0,0,KGI
7/4/2015,0,0,0,0,0,0,KGI
7/5/2015,0,0,0,0,0,0,KGI
7/6/2015,0,0,0,0,0,0,KGI
7/7/2015,0,0,0,0,0,0,KGI
7/8/2015,0,0,0,0,0,0,KGI
7/9/2015,0,0,0,0,0,0,KGI
7/10/2015,0,0,0,0,0,0,KGI
7/11/2015,0,0,0,0,0,0,KGI
7/12/2015,0,0,0,0,0,0,KGI
7/13/2015,0,0,0,0,0,0,KGI
7/14/2015,0,0,0,0,0,0,KGI
7/15/2015,0,0,0,0,0,0,KGI
7/16/2015,0,0,0,0,0,0,KGI
7/17/2015,0,0,0,0,0,0,KGI
7/18/2015,0,0,0,0,0,0,KGI
7/19/2015,0,0,0,0,0,0,KGI
7/20/2015,0,0,0,0,0,0,KGI
7/21/2015,0,0,0,0,0,0,KGI
7/22/2015,0,0,0,0,0,0,KGI
7/23/2015,0,0,0,0,0,0,KGI
7/24/2015,0,0,0,0,0,0,KGI
7/25/2015,0,0,0,0,0,0,KGI
7/26/2015,0,0,0,0,0,0,KGI
7/27/2015,0,0,0,0,0,0,KGI
7/28/2015,0,0,0,0,0,0,KGI
7/29/2015,0,0,0,0,0,0,KGI
7/30/2015,0,0,0,0,0,0,KGI
7/31/2015,0,0,0,0,0,0,KGI
8/1/2015,0,0,0,0,0,0,KGI
8/2/2015,0,0,0,0,0,0,KGI
8/3/2015,0,0,0,0,0,0,KGI
8/4/2015,0,0,0,0,0,0,KGI
8/5/2015,0,0,0,0,0,0,KGI
8/6/2015,0,0,0,0,0,0,KGI
8/7/2015,0,0,0,0,0,0,KGI
8/8/2015,0,0,0,0,0,0,KGI
8/9/2015,0,0,0,0,0,0,KGI
8/10/2015,0,0,0,0,0,0,KGI
8/11/2015,0,0,0,0,0,0,KGI
8/12/2015,0,0,0,0,0,0,KGI
8/13/2015,0,0,0,0,0,0,KGI
8/14/2015,0,0,0,0,0,0,KGI
8/15/2015,0,0,0,0,0,0,KGI
8/16/2015,0,0,0,0,0,0,KGI
8/17/2015,0,0,0,0,0,0,KGI
8/18/2015,0,0,0,0,0,0,KGI
8/19/2015,0,0,0,0,0,0,KGI
8/20/2015,0,0,0,0,0,0,KGI
8/21/2015,0,0,0,0,0,0,KGI
8/22/2015,0,0,0,0,0,0,KGI
8/23/2015,0,0,0,0,0,0,KGI
8/24/2015,0,0,0,0,0,0,KGI
8/25/2015,0,0,0,0,0,0,KGI
