Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_EIE_01,jst_bw331,BW29,Clicks,10/13/2016 12:02:29,10/13/2016 12:07:29,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/15/2016 8:09:07,10/15/2016 8:09:07,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/15/2016 14:17:08,10/15/2016 14:17:08,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/20/2016 6:53:49,10/20/2016 6:54:10,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/20/2016 13:27:28,10/20/2016 13:27:28,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/21/2016 1:13:33,10/21/2016 1:13:35,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/21/2016 19:28:10,10/21/2016 19:38:23,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/22/2016 9:21:36,10/22/2016 9:22:06,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/22/2016 10:35:04,10/22/2016 10:35:04,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/22/2016 19:26:59,10/22/2016 19:26:59,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/22/2016 20:49:24,10/22/2016 20:49:50,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/22/2016 21:51:10,10/22/2016 21:51:10,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/23/2016 8:55:36,10/23/2016 8:55:36,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/24/2016 6:13:08,10/24/2016 6:13:10,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/25/2016 9:28:19,10/25/2016 9:28:21,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/30/2016 9:35:59,10/30/2016 9:35:59,
Antarc_EIE_01,Abartlett,Pm,regular-click,10/31/2016 3:36:49,10/31/2016 3:36:49,
Antarc_EIE_01,Abartlett,Pm,regular-click,11/8/2016 2:36:06,11/8/2016 2:36:06,
Antarc_EIE_01,Abartlett,Pm,regular-click,11/8/2016 6:35:44,11/8/2016 6:35:44,
Antarc_EIE_01,Abartlett,Pm,regular-click,11/8/2016 8:18:39,11/8/2016 8:18:39,
Antarc_EIE_01,Abartlett,Pm,regular-click,11/8/2016 9:15:28,11/8/2016 9:15:28,
Antarc_EIE_01,Abartlett,Pm,regular-click,11/9/2016 23:06:42,11/9/2016 23:06:42,
Antarc_EIE_01,Abartlett,Pm,regular-click,11/11/2016 22:56:24,11/11/2016 22:56:24,
Antarc_EIE_01,Abartlett,Pm,regular-click,11/12/2016 2:11:19,11/12/2016 2:11:19,
Antarc_EIE_01,jst_bw373,BW29,Clicks,11/12/2016 19:38:44,11/12/2016 19:39:59,
Antarc_EIE_01,jst_bw374,BW29,Clicks,11/12/2016 19:46:14,11/12/2016 19:47:29,
Antarc_EIE_01,jst_bw375,BW29,Clicks,11/12/2016 19:49:59,11/12/2016 19:51:14,
Antarc_EIE_01,jst_bw376,BW29,Clicks,11/12/2016 22:44:59,11/12/2016 22:47:29,
Antarc_EIE_01,jst_bw377,BW29,Clicks,11/12/2016 22:48:44,11/12/2016 22:53:44,
Antarc_EIE_01,jst_bw378,BW29,Clicks,11/12/2016 22:54:59,11/12/2016 22:57:29,
Antarc_EIE_01,jst_bw379,BW29,Clicks,11/12/2016 23:09:59,11/12/2016 23:11:14,
Antarc_EIE_01,jst_bw380,BW29,Clicks,11/13/2016 0:51:14,11/13/2016 0:52:29,
Antarc_EIE_01,jst_bw381,BW37,Clicks,11/13/2016 2:44:59,11/13/2016 2:46:14,
Antarc_EIE_01,jst_bw382,BW29,Clicks,11/13/2016 5:51:14,11/13/2016 5:52:29,
Antarc_EIE_01,jst_bw383,BW29,Clicks,11/13/2016 5:54:59,11/13/2016 5:56:14,
Antarc_EIE_01,jst_bw384,BW29,Clicks,11/13/2016 6:01:14,11/13/2016 6:02:29,
Antarc_EIE_01,jst_bw385,BW29,Clicks,11/13/2016 6:07:29,11/13/2016 6:08:44,
Antarc_EIE_01,jst_bw386,BW29,Clicks,11/13/2016 9:37:29,11/13/2016 9:38:44,
Antarc_EIE_01,jst_bw387,BW29,Clicks,11/13/2016 10:09:59,11/13/2016 10:11:14,
Antarc_EIE_01,jst_bw388,BW29,Clicks,11/13/2016 15:57:29,11/13/2016 15:58:44,
Antarc_EIE_01,jst_bw389,BW29,Clicks,11/13/2016 15:59:59,11/13/2016 16:01:14,
Antarc_EIE_01,jst_bw390,BW29,Clicks,11/13/2016 16:03:44,11/13/2016 16:04:59,
Antarc_EIE_01,jst_bw391,BW29,Clicks,11/13/2016 16:06:14,11/13/2016 16:16:14,
Antarc_EIE_01,jst_bw392,BW29,Clicks,11/13/2016 16:17:29,11/13/2016 16:18:44,
Antarc_EIE_01,jst_bw393,BW29,Clicks,11/13/2016 16:21:14,11/13/2016 16:23:44,
Antarc_EIE_01,jst_bw394,BW29,Clicks,11/13/2016 18:11:14,11/13/2016 18:12:29,
Antarc_EIE_01,jst_bw395,BW29,Clicks,11/13/2016 18:23:44,11/13/2016 18:26:14,
Antarc_EIE_01,jst_bw396,BW29,Clicks,11/13/2016 18:27:29,11/13/2016 18:28:44,
Antarc_EIE_01,jst_bw397,BW29,Clicks,11/14/2016 3:08:44,11/14/2016 3:09:59,
Antarc_EIE_01,jst_bw398,BW29,Clicks,11/14/2016 3:16:14,11/14/2016 3:17:29,
Antarc_EIE_01,jst_bw399,BW29,Clicks,11/14/2016 3:22:29,11/14/2016 3:23:44,
Antarc_EIE_01,jst_bw400,BW37,Clicks,11/14/2016 22:37:29,11/14/2016 22:41:14,
Antarc_EIE_01,jst_bw401,BW37,Clicks,11/15/2016 15:17:29,11/15/2016 15:28:44,
Antarc_EIE_01,jst_bw402,BW29,Clicks,11/16/2016 5:44:59,11/16/2016 5:47:29,
Antarc_EIE_01,jst_bw403,BW29,Clicks,11/16/2016 5:59:59,11/16/2016 6:01:14,
Antarc_EIE_01,jst_bw404,BW37,Clicks,11/16/2016 16:52:29,11/16/2016 16:54:59,
Antarc_EIE_01,jst_bw405,BW29,Clicks,11/16/2016 17:53:44,11/16/2016 17:54:59,
Antarc_EIE_01,jst_bw406,BW29,Clicks,11/16/2016 17:56:14,11/16/2016 17:57:29,
Antarc_EIE_01,jst_bw407,BW29,Clicks,11/17/2016 6:02:29,11/17/2016 6:04:59,
Antarc_EIE_01,jst_bw408,BW29,Clicks,11/17/2016 16:29:59,11/17/2016 16:31:14,
Antarc_EIE_01,jst_bw409,BW29,Clicks,11/17/2016 16:43:44,11/17/2016 16:51:14,
Antarc_EIE_01,jst_bw410,BW29,Clicks,11/17/2016 16:52:29,11/17/2016 16:56:14,
Antarc_EIE_01,jst_bw411,BW29,Clicks,11/18/2016 4:12:29,11/18/2016 4:13:44,
Antarc_EIE_01,jst_bw412,BW29,Clicks,11/18/2016 4:16:14,11/18/2016 4:24:59,
Antarc_EIE_01,jst_bw413,BW29,Clicks,11/18/2016 5:01:14,11/18/2016 5:03:44,
Antarc_EIE_01,jst_bw414,BW29,Clicks,11/18/2016 5:09:59,11/18/2016 5:12:29,
Antarc_EIE_01,jst_bw415,BW29,Clicks,11/18/2016 6:21:14,11/18/2016 6:34:59,
Antarc_EIE_01,jst_bw416,BW29,Clicks,11/18/2016 9:08:44,11/18/2016 9:09:59,
Antarc_EIE_01,jst_bw417,BW29,Clicks,11/18/2016 9:18:44,11/18/2016 9:21:14,
Antarc_EIE_01,jst_bw418,BW29,Clicks,11/20/2016 15:53:44,11/20/2016 16:02:29,
Antarc_EIE_01,jst_bw419,BW29,Clicks,11/20/2016 16:03:44,11/20/2016 16:08:44,
Antarc_EIE_01,jst_bw420,BW29,Clicks,11/20/2016 16:09:59,11/20/2016 16:11:14,
Antarc_EIE_01,jst_bw421,BW29,Clicks,11/20/2016 16:12:29,11/20/2016 16:13:44,
Antarc_EIE_01,jst_bw422,BW29,Clicks,11/20/2016 16:16:14,11/20/2016 16:18:44,
Antarc_EIE_01,jst_bw423,BW29,Clicks,11/20/2016 16:23:44,11/20/2016 16:24:59,
Antarc_EIE_01,jst_bw424,BW29,Clicks,11/20/2016 16:27:29,11/20/2016 16:29:59,
Antarc_EIE_01,jst_bw425,BW29,Clicks,11/20/2016 23:37:29,11/20/2016 23:38:44,
Antarc_EIE_01,jst_bw426,BW29,Clicks,11/20/2016 23:42:29,11/20/2016 23:43:44,
Antarc_EIE_01,jst_bw427,BW29,Clicks,11/20/2016 23:47:29,11/20/2016 23:48:44,
Antarc_EIE_01,jst_bw428,BW29,Clicks,11/21/2016 3:12:29,11/21/2016 3:13:44,
Antarc_EIE_01,jst_bw429,BW29,Clicks,11/21/2016 4:53:44,11/21/2016 4:56:14,
Antarc_EIE_01,jst_bw430,BW29,Clicks,11/21/2016 8:48:44,11/21/2016 8:49:59,
