"Day","Pm","BW29","Oo","Gm","BW37","BW58","Site"
2015-04-10,0,0,0,0,0,0,"KGI"
2015-04-11,0,0,0,5,0,0,"KGI"
2015-04-12,0,0,0,0,15,0,"KGI"
2015-04-13,0,10,0,0,0,0,"KGI"
2015-04-14,0,0,0,10,0,0,"KGI"
2015-04-15,0,5,0,0,0,0,"KGI"
2015-04-16,0,0,0,0,0,0,"KGI"
2015-04-17,0,0,0,0,0,0,"KGI"
2015-04-18,0,10,0,0,5,0,"KGI"
2015-04-19,0,0,0,0,0,0,"KGI"
2015-04-20,0,10,0,0,0,0,"KGI"
2015-04-21,0,0,0,0,0,0,"KGI"
2015-04-22,0,0,0,0,0,0,"KGI"
2015-04-23,0,0,0,0,0,0,"KGI"
2015-04-24,0,0,0,0,0,0,"KGI"
2015-04-25,0,0,0,0,0,0,"KGI"
2015-04-26,0,30,0,0,0,0,"KGI"
2015-04-27,0,0,0,0,0,0,"KGI"
2015-04-28,0,5,0,0,0,0,"KGI"
2015-04-29,0,0,0,0,0,0,"KGI"
2015-04-30,0,0,0,0,5,0,"KGI"
2015-05-01,0,0,0,0,0,0,"KGI"
2015-05-02,0,0,0,0,0,0,"KGI"
2015-05-03,0,0,0,0,0,0,"KGI"
2015-05-04,0,0,0,0,0,0,"KGI"
2015-05-05,0,0,0,15,0,0,"KGI"
2015-05-06,0,0,0,0,0,0,"KGI"
2015-05-07,0,0,0,15,0,0,"KGI"
2015-05-08,0,0,0,0,0,0,"KGI"
2015-05-09,0,0,0,50,5,0,"KGI"
2015-05-10,0,0,0,0,5,0,"KGI"
2015-05-11,0,5,0,20,25,0,"KGI"
2015-05-12,0,0,0,0,5,0,"KGI"
2015-05-13,0,0,0,0,0,0,"KGI"
2015-05-14,0,0,0,10,0,0,"KGI"
2015-05-15,0,0,0,15,0,0,"KGI"
2015-05-16,0,0,0,0,0,0,"KGI"
2015-05-17,0,20,0,45,0,0,"KGI"
2015-05-18,0,0,0,35,0,0,"KGI"
2015-05-19,0,0,0,0,0,0,"KGI"
2015-05-20,0,0,0,0,10,0,"KGI"
2015-05-21,0,5,0,25,5,0,"KGI"
2015-05-22,0,0,0,0,0,0,"KGI"
2015-05-23,0,0,0,0,0,0,"KGI"
2015-05-24,0,0,0,15,0,0,"KGI"
2015-05-25,0,0,0,0,0,0,"KGI"
2015-05-26,0,0,30,0,0,0,"KGI"
2015-05-27,0,0,0,0,0,0,"KGI"
2015-05-28,0,0,0,0,0,0,"KGI"
2015-05-29,0,0,0,0,0,0,"KGI"
